entrezgene_id	external_gene_name	gene_biotype	chromosome_name	start_position	end_position
NA	MT-TF	Mt_tRNA	MT	577	647
NA	MT-RNR1	Mt_rRNA	MT	648	1601
NA	MT-TV	Mt_tRNA	MT	1602	1670
NA	MT-RNR2	Mt_rRNA	MT	1671	3229
NA	MT-TL1	Mt_tRNA	MT	3230	3304
4535	MT-ND1	protein_coding	MT	3307	4262
NA	MT-TI	Mt_tRNA	MT	4263	4331
NA	MT-TQ	Mt_tRNA	MT	4329	4400
NA	MT-TM	Mt_tRNA	MT	4402	4469
4536	MT-ND2	protein_coding	MT	4470	5511
NA	MT-TW	Mt_tRNA	MT	5512	5579
NA	MT-TA	Mt_tRNA	MT	5587	5655
NA	MT-TN	Mt_tRNA	MT	5657	5729
NA	MT-TC	Mt_tRNA	MT	5761	5826
NA	MT-TY	Mt_tRNA	MT	5826	5891
4512	MT-CO1	protein_coding	MT	5904	7445
113219467	MT-TS1	Mt_tRNA	MT	7446	7514
NA	MT-TD	Mt_tRNA	MT	7518	7585
4513	MT-CO2	protein_coding	MT	7586	8269
NA	MT-TK	Mt_tRNA	MT	8295	8364
4509	MT-ATP8	protein_coding	MT	8366	8572
4508	MT-ATP6	protein_coding	MT	8527	9207
4514	MT-CO3	protein_coding	MT	9207	9990
NA	MT-TG	Mt_tRNA	MT	9991	10058
4537	MT-ND3	protein_coding	MT	10059	10404
NA	MT-TR	Mt_tRNA	MT	10405	10469
4539	MT-ND4L	protein_coding	MT	10470	10766
4538	MT-ND4	protein_coding	MT	10760	12137
NA	MT-TH	Mt_tRNA	MT	12138	12206
NA	MT-TS2	Mt_tRNA	MT	12207	12265
NA	MT-TL2	Mt_tRNA	MT	12266	12336
4540	MT-ND5	protein_coding	MT	12337	14148
4541	MT-ND6	protein_coding	MT	14149	14673
NA	MT-TE	Mt_tRNA	MT	14674	14742
4519	MT-CYB	protein_coding	MT	14747	15887
NA	MT-TT	Mt_tRNA	MT	15888	15953
NA	MT-TP	Mt_tRNA	MT	15956	16023
NA		lncRNA	KI270741.1	44347	130844
NA		lncRNA	KI270741.1	9471	39242
